Absolutdruck 1 vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Absolutdruck 1 ( kPa )
0,947	186,25
0,946	186,23
0,944	186,23
0,944	186,14
0,941	186,15
0,939	186,07
0,938	186,02
0,936	186,00
0,935	185,93
0,933	185,85
0,930	185,81
0,928	185,59
0,925	185,51
0,924	185,40
0,920	185,25
0,917	185,13
0,914	184,95
0,911	184,79
0,906	184,66
0,903	184,49
0,898	184,24
0,895	184,08
0,891	183,81
0,888	183,56
0,883	183,37
0,878	183,15
0,873	182,87
0,869	182,55
0,862	182,34
0,858	181,94
0,851	181,65
0,847	181,33
0,840	181,01
0,834	180,64
0,828	180,26
0,822	179,91
0,814	179,54
0,807	179,13
0,800	178,62
0,793	178,22
0,785	177,86
0,778	177,35
0,770	177,02
0,762	176,37
0,754	176,02
0,745	175,54
0,737	174,94
0,727	174,58
0,718	173,98
0,708	173,38
0,699	172,92
0,690	172,32
0,680	171,74
0,669	171,29
0,658	170,59
0,649	169,92
0,638	169,44
0,627	168,79
0,616	168,05
0,603	167,54
0,592	166,76
0,580	166,14
0,567	165,51
0,554	164,75
0,542	164,07
0,529	163,31
0,517	162,46
0,504	161,93
0,490	161,12
0,476	160,25
0,463	159,59
0,448	158,77
0,434	157,96
0,419	157,28
0,405	156,50
0,391	155,58
0,375	154,87
0,360	154,00
0,344	153,11
0,328	152,45
0,313	151,52
0,297	150,80
0,281	149,89
0,264	148,97
0,247	148,29
0,231	147,41
0,214	146,46
0,196	145,72
0,179	144,80
0,162	143,92
0,145	143,14
0,127	142,23
0,108	141,33
0,091	140,58
0,074	139,64
0,055	138,74
0,038	137,97
0,019	137,00
0,002	136,07
-0,017	135,35
-0,036	134,39
-0,055	133,48
-0,074	132,74
-0,093	131,84
-0,110	131,14
-0,129	130,28
-0,148	129,35
-0,167	128,70
-0,185	127,81
-0,204	127,00
-0,223	126,27
-0,242	125,45
-0,261	124,80
-0,280	123,99
-0,298	123,19
-0,317	122,47
-0,335	121,71
-0,353	120,95
-0,372	120,34
-0,391	119,58
-0,408	118,83
-0,426	118,23
-0,445	117,57
-0,462	117,00
-0,479	116,30
-0,496	115,65
-0,514	115,07
-0,531	114,45
-0,548	113,80
-0,565	113,31
-0,581	112,67
-0,598	112,09
-0,614	111,61
-0,630	111,04
-0,647	110,58
-0,663	110,07
-0,679	109,49
-0,693	109,09
-0,707	108,56
-0,723	108,12
-0,737	107,69
-0,751	107,22
-0,765	106,73
-0,779	106,41
-0,792	105,94
-0,804	105,59
-0,817	105,15
-0,829	104,75
-0,842	104,41
-0,853	104,07
-0,866	103,65
-0,877	103,38
-0,888	103,00
-0,898	102,75
-0,909	102,41
-0,919	102,07
-0,928	101,82
-0,936	101,48
-0,946	101,22
-0,955	101,01
-0,963	100,75
-0,972	100,47
-0,979	100,27
-0,986	100,05
-0,993	99,90
-0,999	99,65
-1,005	99,46
-1,012	99,34
-1,018	99,17
-1,023	98,96
-1,027	98,85
-1,032	98,67
-1,037	98,53
-1,041	98,42
-1,045	98,26
-1,049	98,12
