Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
133,6000	148,70
133,7000	162,63
133,8000	99,85
133,9000	120,10
134,0000	167,84
134,1000	115,27
134,2000	112,52
134,3000	164,11
134,4000	124,70
134,5000	99,65
134,6000	156,62
134,7000	135,94
134,8000	98,86
134,9000	147,75
135,0000	163,17
135,1000	100,02
135,2000	119,45
135,3000	168,02
135,4000	115,93
135,5000	111,77
135,6000	163,47
135,7000	125,65
135,8000	99,55
135,9000	155,96
136,0000	156,69
136,1000	98,93
136,2000	127,33
136,3000	163,93
136,4000	109,09
136,5000	118,59
136,6000	167,87
136,7000	116,81
136,8000	111,22
136,9000	162,87
137,0000	126,79
137,1000	99,46
137,2000	155,56
137,3000	157,28
137,4000	98,97
137,5000	126,87
137,6000	164,33
137,7000	109,57
137,8000	117,92
137,9000	167,46
138,0000	117,81
138,1000	101,37
138,2000	162,17
138,3000	149,15
138,4000	99,23
138,5000	135,48
138,6000	158,13
138,7000	104,37
138,8000	125,72
138,9000	165,05
139,0000	110,37
139,1000	117,00
139,2000	166,96
139,3000	118,92
139,4000	101,01
139,5000	161,49
139,6000	150,08
139,7000	99,11
139,8000	134,50
139,9000	159,03
140,0000	104,96
140,1000	124,67
140,2000	169,56
140,3000	111,43
140,4000	104,20
140,5000	166,57
140,6000	140,55
140,7000	100,74
140,8000	143,86
140,9000	150,85
141,0000	99,11
141,1000	133,84
141,2000	159,48
141,3000	105,33
141,4000	124,15
141,5000	169,56
141,6000	111,83
141,7000	104,05
141,8000	166,42
141,9000	141,24
142,0000	100,53
142,1000	142,60
142,2000	151,91
142,3000	101,52
142,4000	132,27
142,5000	169,34
142,6000	106,04
142,7000	108,31
142,8000	169,08
142,9000	131,66
143,0000	103,35
143,1000	165,84
143,2000	142,44
143,3000	100,32
143,4000	141,40
143,5000	153,05
143,6000	101,98
143,7000	131,09
143,8000	169,50
143,9000	106,76
144,0000	107,64
144,1000	168,85
144,2000	133,08
144,3000	102,83
144,4000	149,88
144,5000	144,24
144,6000	99,66
144,7000	139,53
144,8000	167,58
144,9000	102,75
145,0000	112,56
145,1000	169,80
145,2000	108,09
145,3000	106,47
145,4000	168,26
145,5000	135,55
145,6000	102,05
145,7000	147,78
145,8000	146,65
145,9000	100,10
146,0000	137,64
146,1000	168,23
146,2000	103,48
146,3000	111,43
146,4000	169,59
146,5000	126,22
146,6000	105,59
146,7000	155,36
146,8000	137,59
146,9000	99,01
147,0000	145,93
147,1000	164,43
